Origin,m/z exp.,Chem. Formula,m/z calc.,m/z error (ppm),Ion type
SRFA2 21 T,269.04543,C15H10O5,269.045547,0.4348,
SRFA2 21 T,269.06656,C12H14O7,269.066676,0.4324,
SRFA2 21 T,269.08181,C16H14O4,269.081932,0.4552,
SRFA2 21 T,269.10295,C13H18O6,269.103062,0.4157,
SRFA2 21 T,269.1182,C17H18O3,269.118318,0.4384,
SRFA2 21 T,269.13933,C14H22O5,269.139447,0.4361,
SRFA2 21 T,269.15458,C18H22O2,269.154703,0.4588,
SRFA2 21 T,269.2121,C16H30O3,269.212218,-0.4397,
SRFA2 21 T,270.04068,C14H9NO5,270.040796,0.4294,
SRFA2 21 T,271.00942,C10H8O9,271.009555,0.4996,
SRFA2 21 T,271.02469,C14H8O6,271.024812,0.4484,
SRFA2 21 T,271.04582,C11H12O8,271.045941,0.4461,
SRFA2 21 T,271.06108,C15H12O5,271.061197,0.4318,
SRFA2 21 T,271.08221,C12H16O7,271.082326,0.4294,
SRFA2 21 T,271.09746,C16H16O4,271.097583,0.4521,
SRFA2 21 T,271.11859,C13H20O6,271.118712,0.4497,
SRFA2 21 T,271.13385,C17H20O3,271.133968,0.4354,
SRFA2 21 T,271.17024,C18H24O2,271.170354,0.4188,
SRFA2 21 T,272.01994,C13H7NO6,272.020061,0.443,
SRFA2 21 T,273.00396,C13H6O7,273.004076,0.4253,
SRFA2 21 T,273.02214,C6H14N2O6S2,273.022051,-0.3255,
SRFA2 21 T,273.04034,C14H10O6,273.040462,0.4454,
SRFA2 21 T,273.06147,C11H14O8,273.061591,0.443,
SRFA2 21 T,273.07673,C15H14O5,273.076847,0.4288,
SRFA2 21 T,273.09785,C12H18O7,273.097976,0.4631,
SRFA2 21 T,273.11311,C16H18O4,273.113233,0.4489,
SRFA2 21 T,273.14949,C17H22O3,273.149618,0.469,
SRFA2 21 T,273.1859,C18H26O2,273.186004,0.3793,
SRFA2 21 T,274.07198,C14H13NO5,274.072096,0.4235,
SRFA2 21 T,274.98323,C12H4O8,274.983341,0.4024,
SRFA2 21 T,275.0196,C13H8O7,275.019726,0.4587,
SRFA2 21 T,275.03486,C17H8O4,275.034982,0.4446,
SRFA2 21 T,275.04072,C10H12O9,275.040856,0.4928,
SRFA2 21 T,275.05599,C14H12O6,275.056112,0.4423,
SRFA2 21 T,275.07125,C18H12O3,275.071368,0.4282,
SRFA2 21 T,275.07711,C11H16O8,275.077241,0.4764,
SRFA2 21 T,275.09237,C15H16O5,275.092497,0.4623,
SRFA2 21 T,275.12876,C16H20O4,275.128883,0.4459,
SRFA2 21 T,275.16515,C17H24O3,275.165268,0.4295,
SRFA2 21 T,276.05124,C13H11NO6,276.051361,0.437,
SRFA2 21 T,276.08761,C14H15NO5,276.087746,0.4931,
SRFA2 21 T,276.99887,C12H6O8,276.998991,0.4358,
SRFA2 21 T,277.01413,C16H6O5,277.014247,0.4218,
SRFA2 21 T,277.03525,C13H10O7,277.035376,0.4556,
SRFA2 21 T,277.05051,C17H10O4,277.050632,0.4416,
SRFA2 21 T,277.07164,C14H14O6,277.071762,0.4393,
SRFA2 21 T,277.0869,C18H14O3,277.087018,0.4254,
SRFA2 21 T,277.10803,C15H18O5,277.108147,0.4231,
SRFA2 21 T,277.14441,C16H22O4,277.144533,0.4429,
SRFA2 21 T,278.0305,C12H9NO7,278.030625,0.4503,
SRFA2 21 T,278.06687,C13H13NO6,278.067011,0.506,
SRFA2 21 T,279.01452,C12H8O8,279.014641,0.4329,
SRFA2 21 T,279.02977,C16H8O5,279.029897,0.4548,
SRFA2 21 T,279.0509,C13H12O7,279.051026,0.4526,
SRFA2 21 T,279.06616,C17H12O4,279.066282,0.4387,
SRFA2 21 T,279.08729,C14H16O6,279.087412,0.4364,
SRFA2 21 T,279.10255,C18H16O3,279.102668,0.4225,
SRFA2 21 T,279.12367,C15H20O5,279.123797,0.4561,
SRFA2 21 T,279.13892,C19H20O2,279.139053,0.478,
SRFA2 21 T,279.16006,C16H24O4,279.160183,0.4399,
SRFA2 21 T,280.08254,C13H15NO6,280.082661,0.4312,
SRFA2 21 T,280.99378,C11H6O9,280.993905,0.4461,
SRFA2 21 T,281.00903,C15H6O6,281.009161,0.4679,
SRFA2 21 T,281.03017,C12H10O8,281.030291,0.43,
SRFA2 21 T,281.04542,C16H10O5,281.045547,0.4518,
SRFA2 21 T,281.06655,C13H14O7,281.066676,0.4495,
SRFA2 21 T,281.0818,C17H14O4,281.081932,0.4713,
SRFA2 21 T,281.10294,C14H18O6,281.103062,0.4335,
SRFA2 21 T,281.11819,C18H18O3,281.118318,0.4553,
SRFA2 21 T,281.13932,C15H22O5,281.139447,0.453,
SRFA2 21 T,281.1546,C19H22O2,281.154703,0.3681,
SRFA2 21 T,281.24848,C18H34O2,281.248604,-0.4405,
SRFA2 21 T,282.04065,C15H9NO5,282.040796,0.5175,
SRFA2 21 T,282.06181,C12H13NO7,282.061925,0.4089,
SRFA2 21 T,283.00943,C11H8O9,283.009555,-0.4431,
SRFA2 21 T,283.02469,C15H8O6,283.024812,0.4294,
SRFA2 21 T,283.04581,C12H12O8,283.045941,0.4625,
SRFA2 21 T,283.06107,C16H12O5,283.061197,0.4488,
SRFA2 21 T,283.0822,C13H16O7,283.082326,0.4466,
SRFA2 21 T,283.09746,C17H16O4,283.097583,0.4329,
SRFA2 21 T,283.11859,C14H20O6,283.118712,0.4306,
SRFA2 21 T,283.13384,C18H20O3,283.133968,0.4523,
SRFA2 21 T,283.15497,C15H24O5,283.155097,0.45,
SRFA2 21 T,283.17026,C19H24O2,283.170354,0.3304,
SRFA2 21 T,284.05631,C15H11NO5,284.056446,0.4788,
SRFA2 21 T,285.00395,C14H6O7,285.004076,0.4424,
SRFA2 21 T,285.02508,C11H10O9,285.025205,0.4402,
SRFA2 21 T,285.04033,C15H10O6,285.040462,0.4617,
SRFA2 21 T,285.06146,C12H14O8,285.061591,0.4595,
SRFA2 21 T,285.07672,C16H14O5,285.076847,0.4459,
SRFA2 21 T,285.09785,C13H18O7,285.097976,0.4436,
SRFA2 21 T,285.1131,C17H18O4,285.113233,0.4651,
SRFA2 21 T,285.13424,C14H22O6,285.134362,0.4278,
SRFA2 21 T,285.14948,C18H22O3,285.149618,0.4844,
SRFA2 21 T,285.18588,C19H26O2,285.186004,0.4335,
SRFA2 21 T,286.03559,C14H9NO6,286.035711,0.4215,
SRFA2 21 T,286.98324,C13H4O8,286.983341,0.3507,
SRFA2 21 T,287.0196,C14H8O7,287.019726,0.4395,
SRFA2 21 T,287.03779,C7H16N2O6S2,287.037701,-0.3094,
SRFA2 21 T,287.04073,C11H12O9,287.040856,0.4373,
SRFA2 21 T,287.05598,C15H12O6,287.056112,0.4587,
SRFA2 21 T,287.07711,C12H16O8,287.077241,0.4565,
SRFA2 21 T,287.09237,C16H16O5,287.092497,0.443,
SRFA2 21 T,287.1135,C13H20O7,287.113627,0.4407,
SRFA2 21 T,287.12875,C17H20O4,287.128883,0.4621,
SRFA2 21 T,287.16514,C18H24O3,287.165268,0.4464,
SRFA2 21 T,288.01484,C13H7NO7,288.014975,0.4692,
SRFA2 21 T,288.05124,C14H11NO6,288.051361,0.4188,
SRFA2 21 T,288.08762,C15H15NO5,288.087746,0.4379,
SRFA2 21 T,288.99886,C13H6O8,288.998991,0.4523,
SRFA2 21 T,289.01412,C17H6O5,289.014247,0.4389,
SRFA2 21 T,289.03525,C14H10O7,289.035376,0.4367,
SRFA2 21 T,289.0505,C18H10O4,289.050632,0.4579,
SRFA2 21 T,289.05637,C11H14O9,289.056506,0.4691,
SRFA2 21 T,289.07163,C15H14O6,289.071762,0.4557,
SRFA2 21 T,289.08689,C19H14O3,289.087018,0.4423,
SRFA2 21 T,289.09277,C12H18O8,289.092891,0.4189,
SRFA2 21 T,289.10802,C16H18O5,289.108147,0.4401,
SRFA2 21 T,289.14441,C17H22O4,289.144533,0.4245,
SRFA2 21 T,289.18078,C18H26O3,289.180918,0.4781,
